Freq.	V(vout)/(-V(vn))
3.16227766016845e+06	(-1.08121221921215e+01dB,1.69634210104536e+02°)
3.31131121482599e+06	(-1.16792425080342e+01dB,1.67884613738097e+02°)
3.46736850452540e+06	(-1.25443625550158e+01dB,1.66074619032079e+02°)
3.63078054770110e+06	(-1.34053301055624e+01dB,1.64188909278991e+02°)
3.80189396320570e+06	(-1.42596077217456e+01dB,1.62210379548641e+02°)
3.98107170553507e+06	(-1.51041947116150e+01dB,1.60120319827226e+02°)
4.16869383470346e+06	(-1.59355385807163e+01dB,1.57898792232188e+02°)
4.36515832240177e+06	(-1.67494406252347e+01dB,1.55525272791055e+02°)
4.57088189614886e+06	(-1.75409654758155e+01dB,1.52979635033477e+02°)
4.78630092322650e+06	(-1.83043717427977e+01dB,1.50243545640327e+02°)
5.01187233627285e+06	(-1.90330900244270e+01dB,1.47302309148733e+02°)
5.24807460249786e+06	(-1.97197836056448e+01dB,1.44147124301287e+02°)
5.49540873857638e+06	(-2.03565322091324e+01dB,1.40777588051565e+02°)
5.75439937337171e+06	(-2.09351738620883e+01dB,1.37204110368146e+02°)
6.02559586074373e+06	(-2.14478173771125e+01dB,1.33449723611900e+02°)
6.30957344480209e+06	(-2.18874950517701e+01dB,1.29550667358460e+02°)
6.60693448007612e+06	(-2.22488691303597e+01dB,1.25555209629630e+02°)
6.91830970918954e+06	(-2.25288571696548e+01dB,1.21520496544609e+02°)
7.24435960075008e+06	(-2.27270289420891e+01dB,1.17507753249671e+02°)
7.58577575029203e+06	(-2.28456691959764e+01dB,1.13576691722843e+02°)
7.94328234724302e+06	(-2.28894874298423e+01dB,1.09780258867774e+02°)
8.31763771102692e+06	(-2.28650513127242e+01dB,1.06160732595051e+02°)
8.70963589956103e+06	(-2.27800823761170e+01dB,1.02747713204749e+02°)
9.12010839355933e+06	(-2.26427600622326e+01dB,9.95579970762616e+01°)
9.54992586021460e+06	(-2.24611422864946e+01dB,9.65968971658658e+01°)
1.00000000000003e+07	(-2.22427541990406e+01dB,9.38604006582888e+01°)
1.04712854805093e+07	(-2.19943469814578e+01dB,9.13375981132735e+01°)
1.09647819614321e+07	(-2.17217977757086e+01dB,8.90129796129273e+01°)
1.14815362149691e+07	(-2.14301104009144e+01dB,8.68683750942661e+01°)
1.20226443461744e+07	(-2.11234782579653e+01dB,8.48844617938157e+01°)
